Date,Open,High,Low,Close
2017-09-22,112.47,112.51,111.65,111.98
2017-09-25,112.15,112.49,111.48,111.7
2017-09-26,111.7,112.43,111.48,112.21
2017-09-27,112.19,113.23,112.19,112.78
2017-09-28,112.78,113.17,112.26,112.32
2017-09-29,112.29,112.69,112.21,112.52
2017-10-02,112.56,113.02,112.53,112.72
2017-10-03,112.71,113.16,112.67,112.82
2017-10-04,112.87,112.9,112.32,112.73
2017-10-05,112.73,112.88,112.41,112.81
2017-10-06,112.8,113.41,112.6,112.62
2017-10-09,112.47,112.71,112.34,112.66
2017-10-10,112.65,112.79,111.99,112.43
2017-10-11,112.39,112.55,112.08,112.48
2017-10-12,112.48,112.5,112.13,112.26
2017-10-13,112.25,112.26,111.57,111.85
2017-10-16,111.89,112.25,111.65,112.17
2017-10-17,112.14,112.44,112.04,112.18
2017-10-18,112.19,113.01,112.09,112.91
2017-10-19,112.91,113.11,112.3,112.53
2017-10-20,112.54,113.53,112.52,113.49
2017-10-23,113.81,114.06,113.25,113.41
2017-10-24,113.41,113.98,113.25,113.9
2017-10-25,113.9,114.21,113.48,113.73
2017-10-26,113.73,114.04,113.34,113.98
2017-10-27,113.96,114.41,113.65,113.66
2017-10-30,113.78,113.8,113.03,113.16
2017-10-31,113.16,113.69,112.95,113.64
2017-11-01,113.65,114.24,113.58,114.17
2017-11-02,114.14,114.18,113.54,114.06
2017-11-03,114.06,114.39,113.5,114.06
2017-11-06,114.05,114.69,113.7,113.7
2017-11-07,113.73,114.3,113.7,113.97
2017-11-08,113.97,113.97,113.4,113.85
2017-11-09,113.84,114.03,113.09,113.43
2017-11-10,113.42,113.6,113.22,113.5
2017-11-13,113.49,113.67,113.24,113.59
2017-11-14,113.59,113.87,113.31,113.43
2017-11-15,113.42,113.46,112.46,112.86
2017-11-16,112.84,113.29,112.74,113.04
2017-11-17,113.06,113.1,111.95,112.13
2017-11-20,112.11,112.68,111.89,112.6
2017-11-21,112.6,112.66,112.18,112.43
2017-11-22,112.44,112.45,111.14,111.21
2017-11-23,111.22,111.36,111.07,111.2
2017-11-24,111.19,111.59,111.18,111.53
2017-11-27,111.57,111.65,110.8,111.08
2017-11-28,111.03,111.6,110.93,111.43
2017-11-29,111.42,112.11,111.37,111.94
2017-11-30,111.93,112.6,111.74,112.54
2017-12-01,112.56,112.83,111.41,112.15
2017-12-04,112.58,113.05,112.37,112.38
2017-12-05,112.43,112.83,112.38,112.56
2017-12-06,112.55,112.61,111.99,112.26
2017-12-07,112.26,113.14,112.2,113.07
2017-12-08,113.08,113.55,113.07,113.49
2017-12-11,113.49,113.65,113.24,113.53
2017-12-12,113.52,113.71,113.37,113.53
2017-12-13,113.52,113.55,112.47,112.52
2017-12-14,112.54,112.84,112.07,112.38
2017-12-15,112.35,112.7,112.03,112.6
2017-12-18,112.6,112.79,112.31,112.52
2017-12-19,112.55,113.04,112.51,112.86
2017-12-20,112.85,113.43,112.82,113.37
2017-12-21,113.36,113.6,113.17,113.29
2017-12-22,113.29,113.41,113.26,113.3
2017-12-25,113.23,113.37,113.17,113.29
2017-12-26,113.26,113.31,113.12,113.2
2017-12-27,113.18,113.36,113.11,113.31
2017-12-28,113.26,113.26,112.67,112.84
2017-12-29,112.84,112.93,112.47,112.65
